Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
60,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SAPTAGIRI ENCLAVE",17.495945,78.5656103,OPEN SPACES
61,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE , MYTRI VILLA",17.5025788,78.5558766,OPEN SPACES
62,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SIVA SAI ENCLAVE",17.5016603,78.5599136,OPEN SPACES
63,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SIVA SAI ENCLAVE",17.5004852,78.5614347,OPEN SPACES
64,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SIVA SAI ENCLAVE",17.4993135,78.5605956,OPEN SPACES
65,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, C.S. WELFARE ASSOCATION",17.4938176,78.5716046,OPEN SPACES
66,1-KAPRA,1-KAPRA,EAST ZONE,GHMC OPEN SPACE TULSI NAGAR,17.5063537,78.5571022,OPEN SPACES
67,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE TULSI GARDEN,17.5071022,78.5575461,OPEN SPACES
68,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE UMA RESIDENCY,17.4878762,78.553922,OPEN SPACES
69,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE BHASKAR RAO NAGAR COLONY,17.4897232,78.5493808,OPEN SPACES
70,1-KAPRA,1-KAPRA,EAST ZONE,AFOCHS SAINIKPURI,17.4867004,78.5486272,OPEN SPACES
71,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE BHASKAR RAO NAGAR COLONY,17.4898067,78.5467193,OPEN SPACES
72,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,O.U.T COLONY",17.4922124,78.5431635,OPEN SPACES
73,1-KAPRA,1-KAPRA,EAST ZONE,OPENSPACE O.U.T COLONY,17.493931,78.5441947,OPEN SPACES
74,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,O.U.T COLONY",17.493331,78.5440271,OPEN SPACES
75,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,O.U.T COLONY",17.4934059,78.5446036,OPEN SPACES
