ward_id,ward_name,pop_annualized_growth_pct,pop_growth_z,infra_improvement_z,pressure_zscore,pressure_data_coverage,n_udise_signals_used,pressure_rank,udise_improvement_z,udise_imputed,udise_improvement_z_used,amenity_count,pressure_confidence,pressure_uncertainty
76,Mallepally,0.8529068038109822,1.3135360080127576,0.0965582881047705,1.0756152894879536,full,5,26.0,0.0965582881047705,False,0.0965582881047705,238,high,0.5
86,Musheerabad,0.854072975584308,1.3471536056824505,0.1754590638244392,1.0355921420873242,full,5,27.0,0.1754590638244392,False,0.1754590638244392,303,high,0.5
32,Patthergatti,0.832540719022945,0.7264365256110213,-0.4404735140544308,1.0313634009799733,full,5,28.0,-0.4404735140544308,False,-0.4404735140544308,174,high,0.5
84,Bagh Amberpet,0.8447939402602245,1.079663958425518,-0.0772490183671786,1.0225275829530653,full,5,29.0,-0.0772490183671786,False,-0.0772490183671786,105,high,0.5
25,Moosarambagh,0.8308355528972688,0.6772811695269942,-0.4625716889063344,1.007449144089618,full,5,30.0,-0.4625716889063344,False,-0.4625716889063344,682,high,0.5
46,Falaknuma,0.8162478833324993,0.2567578661989822,-0.880834598197535,1.0054513142637393,full,5,31.0,-0.880834598197535,False,-0.880834598197535,291,high,0.5
85,Adikmet,0.838409253932304,0.895610613001888,-0.222033763126889,0.9878203680386444,full,5,32.0,-0.222033763126889,False,-0.222033763126889,366,high,0.5
35,Gowlipura,0.8649261003902842,1.6600200217042895,0.5526027432797235,0.9787812357046782,full,5,33.0,0.5526027432797235,False,0.5526027432797235,186,high,0.5
20,RK Puram,0.8451926760512762,1.091158439518862,,0.9644110007938708,population_only,0,34.0,,True,0.0,25,medium,0.8
40,Riyasat Nagar,0.8645484562540773,1.6491335563278249,0.5976297807628843,0.9293625671614378,full,5,35.0,0.5976297807628843,False,0.5976297807628843,36,high,0.5
9,Ramanthapur,0.8413487201737846,0.980347523746967,,0.8664717260671129,population_only,0,36.0,,True,0.0,2011,medium,0.8
131,Quthbullapur,0.8386178810009692,0.901624770622418,,0.7968932978788363,population_only,0,37.0,,True,0.0,755,medium,0.8
24,Saidabad,0.8245963935351597,0.4974229753654999,-0.366401395692107,0.7634837398766253,full,5,38.0,-0.366401395692107,False,-0.366401395692107,142,high,0.5
141,Gautham Nagar,0.8367763691945029,0.8485389350450216,,0.7499738387398407,population_only,0,39.0,,True,0.0,285,medium,0.8
22,Chaitanyapuri,0.8367314282141436,0.8472434073782069,,0.7488287977554536,population_only,0,40.0,,True,0.0,2449,medium,0.8
87,Ramnagar,0.8413671178955751,0.9808778806149152,0.1408185337732501,0.7424792276464005,full,5,41.0,0.1408185337732501,False,0.1408185337732501,452,high,0.5
127,Rangareddy Nagar,0.8345972472492136,0.7857207066282801,,0.6944524879063165,population_only,0,42.0,,True,0.0,166,medium,0.8
145,Seethaphalmandi,0.8642081329677698,1.6393229507391769,0.8937494881319032,0.6589686916186875,full,5,43.0,0.8937494881319032,False,0.8937494881319032,351,high,0.5
111,Bharati Nagar,0.832773644806517,0.733151149869754,,0.6479893373604294,population_only,0,44.0,,True,0.0,45,medium,0.8
122,Vivekananda Nagar Colony,0.8295940972868676,0.6414933411899827,,0.5669783715850022,population_only,0,45.0,,True,0.0,147,medium,0.8
43,Chandrayangutta,0.8159841691003589,0.2491556937243507,-0.2801352245738721,0.4678092252598791,full,5,46.0,-0.2801352245738721,False,-0.2801352245738721,299,high,0.5
21,Kothapet,0.8251731729324918,0.5140499750641652,,0.4543386486826762,population_only,0,47.0,,True,0.0,792,medium,0.8
38,IS Sadan,0.8012153503583752,-0.1765896534715323,-0.6663346778238791,0.4328569270634345,full,5,48.0,-0.6663346778238791,False,-0.6663346778238791,333,high,0.5
147,Bansilapet,0.8175782269151499,0.2951080958537964,-0.1366567679464894,0.38161166089580223,full,5,49.0,-0.1366567679464894,False,-0.1366567679464894,365,high,0.5
63,Mangalhat,0.826597460584777,0.5551083597341041,0.179691061582786,0.3318093496899421,full,5,50.0,0.179691061582786,False,0.179691061582786,139,high,0.5
73,Vijay Nagar Colony,0.817501944006227,0.2929090646305221,-0.0595351086837165,0.3115047509139297,full,5,51.0,-0.0595351086837165,False,-0.0595351086837165,216,high,0.5
17,Champapet,0.8185751091072779,0.3238455299313392,,0.28622808596102833,population_only,0,52.0,,True,0.0,201,medium,0.8
93,Banjara Hills,0.816137318076593,0.2535705670597599,-0.0444354427740445,0.26339004839034785,full,5,53.0,-0.0444354427740445,False,-0.0444354427740445,1182,high,0.5
36,Lalithabagh,0.8677595245813352,1.7417000251661112,1.4596281215389726,0.24930682568228518,full,5,54.0,1.4596281215389726,False,1.4596281215389726,366,high,0.5
121,Kukatpally,0.8155884053582918,0.2377468888146593,,0.21013054261714628,population_only,0,55.0,,True,0.0,575,medium,0.8
28,Azampura,0.8071821273478053,-0.0045835109772884,-0.2303634398740542,0.1995536480316407,full,5,56.0,-0.2303634398740542,False,-0.2303634398740542,527,high,0.5
80,Kachiguda,0.8226175194515406,0.4403773545541106,0.2310391115831002,0.18502180535498225,full,5,57.0,0.2310391115831002,False,0.2310391115831002,82,high,0.5
83,Amberpet,0.8023752669975792,-0.1431523745053837,-0.3340539885166779,0.1687267494379467,full,5,58.0,-0.3340539885166779,False,-0.3340539885166779,256,high,0.5
27,Akbarbagh,0.8124403576361239,0.1469971346279155,-0.0148086992853743,0.14301069447569237,full,5,59.0,-0.0148086992853743,False,-0.0148086992853743,107,high,0.5
15,Vanasthalipuram,0.8124877393637098,0.1483630224767827,,0.13112938122050496,population_only,0,60.0,,True,0.0,39,medium,0.8
96,Yousufguda,0.8134851714196811,0.1771163076509491,0.0573398821953782,0.10586336334076027,full,5,61.0,0.0573398821953782,False,0.0573398821953782,162,high,0.5
12,Mansoorabad,0.8110560263781652,0.1070905854075432,,0.09465109273593043,population_only,0,62.0,,True,0.0,367,medium,0.8
95,Jubilee Hills,0.8142237753624215,0.1984082740252361,0.1124830601272735,0.07594426118841546,full,5,63.0,0.1124830601272735,False,0.1124830601272735,401,high,0.5
30,Dabeerpura,0.8056002419102537,-0.050185016189075,-0.1220062130261932,0.0634785470297453,full,5,64.0,-0.1220062130261932,False,-0.1220062130261932,452,high,0.5
62,Ziaguda,0.8215518722745729,0.4096576107971719,0.3509402605897546,0.0518968249033311,full,5,65.0,0.3509402605897546,False,0.3509402605897546,203,high,0.5
71,Gudimalkapur,0.8292604722042851,0.6318758268106124,0.5881412319811249,0.03865444544187506,full,5,66.0,0.5881412319811249,False,0.5881412319811249,123,high,0.5
100,Sanath Nagar,0.8184015453044813,0.3188421520191817,0.2927685316876177,0.023044945048836182,full,5,67.0,0.2927685316876177,False,0.2927685316876177,240,high,0.5
18,Lingojiguda,0.8079578386500863,0.0177781608316145,,0.015713074526055866,population_only,0,68.0,,True,0.0,274,medium,0.8
148,Ramgopalpet,0.8212188165150458,0.4000565084712033,0.3950018035175173,0.004467557493533706,full,5,69.0,0.3950018035175173,False,0.3950018035175173,623,high,0.5
137,Vinayak Nagar,0.8064084811658212,-0.0268856509188699,,-0.023762651298460374,population_only,0,70.0,,True,0.0,63,medium,0.8
89,Gandhinagar,0.8236009927377719,0.4687282459164736,0.5136976637386346,-0.03974583312218899,full,5,71.0,0.5136976637386346,False,0.5136976637386346,379,high,0.5
6,Nacharam,0.8050246045147036,-0.066779095045953,,-0.05902212873299238,population_only,0,72.0,,True,0.0,1321,medium,0.8
135,Venkatapuram,0.8049385191492897,-0.0692607047418206,,-0.06121547811626502,population_only,0,73.0,,True,0.0,571,medium,0.8
101,Erragadda,0.8104068146018273,0.0883755549132682,0.1962832039696515,-0.09537324741369801,full,5,74.0,0.1962832039696515,False,0.1962832039696515,77,high,0.5
55,Ramnaspura,0.7844965981210761,-0.6585463421074732,-0.532489064725725,-0.11141464028879693,full,5,75.0,-0.532489064725725,False,-0.532489064725725,616,high,0.5
113,Patancheruvu,0.8029605638485426,-0.1262798395126081,,-0.11161134991371267,population_only,0,76.0,,True,0.0,902,medium,0.8
119,Old Bowenpally,0.8025495286269946,-0.1381288801274983,,-0.12208402253758226,population_only,0,77.0,,True,0.0,63,medium,0.8
50,Begum Bazar,0.8009938865638278,-0.1829738593953882,-0.0253929087904697,-0.13927656770537078,full,5,78.0,-0.0253929087904697,False,-0.0253929087904697,211,high,0.5
16,Hasthinapuram,0.8017714513617769,-0.1605587562883896,,-0.14190847564408618,population_only,0,79.0,,True,0.0,151,medium,0.8
150,Monda Market,0.8144447139705413,0.2047773402360316,0.3749284015329738,-0.15038655191438235,full,5,80.0,0.3749284015329738,False,0.3749284015329738,382,high,0.5
79,Himayath Nagar,0.8164441107693765,0.2624145757640573,0.4407660977109189,-0.15763445852072885,full,5,81.0,0.4407660977109189,False,0.4407660977109189,229,high,0.5
59,Mailardevpally,0.8002720155190879,-0.2037834612967078,,-0.1801122593535108,population_only,0,82.0,,True,0.0,1293,medium,0.8
58,Shastripuram,0.8002605123973217,-0.2041150653779658,,-0.18040534476832407,population_only,0,83.0,,True,0.0,590,medium,0.8
140,Malkajgiri,0.800002367082886,-0.2115567009238734,,-0.18698257033378504,population_only,0,84.0,,True,0.0,606,medium,0.8
97,Somajiguda,0.800426257814868,-0.1993370704975229,0.0437320948611852,-0.2148345909592047,full,5,85.0,0.0437320948611852,False,0.0437320948611852,546,high,0.5
118,Fateh Nagar,0.7984217338828259,-0.2571221074946722,,-0.227255162984858,population_only,0,86.0,,True,0.0,1080,medium,0.8
77,Jambagh,0.8169474002948096,0.2769230599894374,0.5615508722578622,-0.2515658435493526,full,5,87.0,0.5615508722578622,False,0.5615508722578622,264,high,0.5
51,Goshamahal,0.7896655217972892,-0.5095401660818607,-0.1837925036525672,-0.2879092694074924,full,5,88.0,-0.1837925036525672,False,-0.1837925036525672,164,high,0.5
120,Balanagar,0.795408777893547,-0.3439775301355458,,-0.30402158116918193,population_only,0,89.0,,True,0.0,387,medium,0.8
104,Kondapur,0.7942563787987522,-0.3771980985027989,,-0.33338329476242573,population_only,0,90.0,,True,0.0,840,medium,0.8
82,Golnaka,0.7903638041409033,-0.4894105630298821,-0.0670794767162618,-0.3732736978120915,full,5,91.0,-0.0670794767162618,False,-0.0670794767162618,1151,high,0.5
49,Ghansi Bazar,0.7988406813291604,-0.2450449787064719,0.1824218568398098,-0.37781288559446463,full,5,92.0,0.1824218568398098,False,0.1824218568398098,210,high,0.5
