year,ward_id,ward_name,source_rows,source_districts,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,literacy_rate,work_participation_rate,non_worker_rate,sc_share,st_share,female_share,child_share,main_worker_share,marginal_worker_share,agri_main_worker_share,hh_industry_main_worker_share,other_main_worker_share
2011,13,GHMC (M Corp.) WARD NO.-0013,1,537,13591,57789,29739,28050,6772,3517,3255,6319,3201,3118,1757,957,800,42166,22923,19243,15623,6816,8807,20641,16079,4562,17894,14324,3570,356,256,100,558,473,85,535,233,302,16445,13362,3083,2747,1755,992,82,42,40,76,41,35,171,48,123,2418,1624,794,2501,1606,895,81,41,40,64,38,26,142,40,102,2214,1487,727,246,149,97,1,1,0,12,3,9,29,8,21,204,137,67,37148,13660,23488,0.8265088107885606,0.3571787018290678,0.6428212981709321,0.10934606932115108,0.03040371004862517,0.4853864922390074,0.1171849313883265,0.3096437038190659,0.047534998010001904,0.031183636973287136,0.029898289929585337,0.9190231362467867
2011,14,GHMC (M Corp.) WARD NO.-0014,1,537,12394,51227,26325,24902,5589,2968,2621,2902,1490,1412,548,294,254,39108,20908,18200,12119,5417,6702,18722,14330,4392,16056,12599,3457,95,74,21,335,254,81,348,254,94,15278,12017,3261,2666,1731,935,60,32,28,45,30,15,73,32,41,2488,1637,851,1852,1057,795,57,29,28,30,19,11,48,19,29,1717,990,727,814,674,140,3,3,0,15,11,4,25,13,12,771,647,124,32505,11995,20510,0.8569174810464963,0.365471333476487,0.634528666523513,0.05664981357487263,0.010697483748804342,0.4861108399867258,0.10910262166435669,0.3134284654576688,0.0520428680188182,0.020864474339810663,0.021674140508221227,0.9515445939212755
2011,15,GHMC (M Corp.) WARD NO.-0015,1,537,13608,55245,27792,27453,5536,2838,2698,2770,1427,1343,817,444,373,43136,22557,20579,12109,5235,6874,21453,15544,5909,18665,14291,4374,194,135,59,148,92,56,426,323,103,17897,13741,4156,2788,1253,1535,100,47,53,151,71,80,347,81,266,2190,1054,1136,2633,1162,1471,99,46,53,128,61,67,317,63,254,2089,992,1097,155,91,64,1,1,0,23,10,13,30,18,12,101,62,39,33792,12248,21544,0.8677704238669054,0.3883247352701602,0.6116752647298398,0.050140284188614354,0.014788668657797086,0.4969318490361119,0.10020816363471807,0.337858629740248,0.05046610552991221,0.007929279399946424,0.022823466380926867,0.9588534690597375
2011,16,GHMC (M Corp.) WARD NO.-0016,1,537,8915,37079,18845,18234,3592,1905,1687,1217,625,592,380,196,184,30403,15903,14500,6676,2942,3734,13449,10339,3110,11871,9435,2436,133,103,30,81,55,26,145,93,52,11512,9184,2328,1578,904,674,66,22,44,48,30,18,90,71,19,1374,781,593,1371,739,632,65,22,43,39,24,15,38,27,11,1229,666,563,207,165,42,1,0,1,9,6,3,52,44,8,145,115,30,23630,8506,15124,0.9079045599784992,0.36271204725046524,0.6372879527495348,0.03282181288600016,0.010248388575743683,0.4917608349739745,0.09687424148439817,0.32015426521750856,0.04255778203295666,0.006823351023502654,0.012214640721084998,0.9697582343526241
2011,17,GHMC (M Corp.) (Part) WARD NO.-0017,2,537,8390,33864,17338,16526,2898,1517,1381,1087,549,538,212,118,94,28007,14857,13150,5857,2481,3376,12585,9318,3267,10575,8098,2477,108,74,34,135,66,69,150,87,63,10182,7871,2311,2010,1220,790,51,30,21,21,8,13,82,36,46,1856,1146,710,1896,1137,759,51,30,21,21,8,13,73,29,44,1751,1070,681,114,83,31,0,0,0,0,0,0,9,7,2,105,76,29,21279,8020,13259,0.9044435832848932,0.37163359319631467,0.6283664068036854,0.032098984171982044,0.006260335459484999,0.48801086699740137,0.08557760453579022,0.3122785258681786,0.05935506732813607,0.01276595744680851,0.014184397163120567,0.9628368794326241
2011,18,GHMC (M Corp.) (Part) WARD NO.-0018,1,536,5758,25242,13010,12232,2517,1352,1165,2580,1380,1200,181,103,78,20150,10716,9434,5092,2294,2798,9825,7144,2681,7052,5467,1585,104,76,28,147,81,66,159,100,59,6642,5210,1432,2773,1677,1096,57,26,31,42,21,21,255,127,128,2419,1503,916,2453,1522,931,56,25,31,38,19,19,104,51,53,2255,1427,828,320,155,165,1,1,0,4,2,2,151,76,75,164,76,88,15417,5866,9551,0.8866886688668867,0.38923223199429524,0.6107677680057048,0.10221060137865462,0.007170588701370731,0.48458917676887725,0.09971476111243166,0.27937564376832263,0.10985658822597258,0.020845150311968236,0.022546795235394216,0.9418604651162791
2011,19,GHMC (M Corp.) (Part) WARD NO.-0019,1,536,10382,45226,22908,22318,4803,2489,2314,3878,2004,1874,831,432,399,35572,18689,16883,9654,4219,5435,15602,11661,3941,12710,9819,2891,76,54,22,91,58,33,234,124,110,12309,9583,2726,2892,1842,1050,56,27,29,33,18,15,45,15,30,2758,1782,976,2754,1776,978,54,26,28,29,16,13,40,15,25,2631,1719,912,138,66,72,2,1,1,4,2,2,5,0,5,127,63,64,29624,11247,18377,0.8799940627860376,0.3449785521602618,0.6550214478397383,0.08574713660283907,0.018374386414894087,0.4934772033785875,0.10619997346659002,0.28103303409543184,0.06394551806482997,0.007159716758457908,0.018410700236034618,0.9684500393391031
2011,20,GHMC (M Corp.) (Part) WARD NO.-0020,1,536,10789,45484,23220,22264,5277,2743,2534,4334,2165,2169,2339,1235,1104,31586,17020,14566,13898,6200,7698,18315,12894,5421,16347,11943,4404,168,134,34,227,147,80,723,398,325,15229,11264,3965,1968,951,1017,74,42,32,58,25,33,149,54,95,1687,830,857,1835,901,934,73,41,32,57,25,32,131,50,81,1574,785,789,133,50,83,1,1,0,1,0,1,18,4,14,113,45,68,27169,10326,16843,0.7855845996965702,0.40266907044235334,0.5973309295576467,0.09528625450707941,0.05142467680942749,0.48949080995514904,0.11601881980476651,0.3594011080819629,0.04326796236039047,0.013886340001223466,0.04422829877041659,0.9316082461613752
2011,21,GHMC (M Corp.) (Part) WARD NO.-0021,1,536,11159,56751,29434,27317,7475,3940,3535,1843,925,918,608,318,290,41770,22325,19445,14981,7109,7872,18543,14220,4323,14059,11639,2420,195,136,59,161,106,55,264,187,77,13439,11210,2229,4484,2581,1903,171,68,103,123,57,66,352,149,203,3838,2307,1531,4148,2400,1748,168,67,101,84,41,43,270,108,162,3626,2184,1442,336,181,155,3,1,2,39,16,23,82,41,41,212,123,89,38208,15214,22994,0.8476743242146279,0.32674314109002484,0.6732568589099751,0.03247519867491322,0.010713467604095082,0.48134834628464696,0.13171574069179398,0.2477313175098236,0.07901182358020123,0.01145173909950921,0.0187780069706238,0.9559001351447471
2011,22,GHMC (M Corp.) (Part) WARD NO.-0022,1,536,9160,47220,24351,22869,6771,3505,3266,532,257,275,122,62,60,33218,17528,15690,14002,6823,7179,14106,11164,2942,10595,8872,1723,159,109,50,138,65,73,103,55,48,10195,8643,1552,3511,2292,1219,151,66,85,46,17,29,67,43,24,3247,2166,1081,3344,2174,1170,151,66,85,40,13,27,57,38,19,3096,2057,1039,167,118,49,0,0,0,6,4,2,10,5,5,151,109,42,33114,13187,19927,0.821231674454251,0.29872935196950445,0.7012706480304955,0.011266412537060568,0.002583650995340957,0.4843074968233799,0.14339263024142312,0.22437526471833968,0.07435408725116475,0.013025011798017933,0.009721566776781501,0.9622463426144408
2011,23,GHMC (M Corp.) (Part) WARD NO.-0023,1,536,6962,35196,17903,17293,4909,2536,2373,452,235,217,665,339,326,23501,12229,11272,11695,5674,6021,11234,8749,2485,8870,7387,1483,98,44,54,156,112,44,259,171,88,8357,7060,1297,2364,1362,1002,143,63,80,30,22,8,181,57,124,2010,1220,790,2197,1243,954,143,63,80,29,21,8,158,43,115,1867,1116,751,167,119,48,0,0,0,1,1,0,23,14,9,143,104,39,23962,9154,14808,0.7759434740977977,0.31918399818161153,0.6808160018183884,0.012842368450960337,0.018894192521877486,0.49133424252756,0.13947607682691215,0.2520172746903057,0.06716672349130583,0.01758737316798196,0.02919954904171364,0.9421645997745208
2011,24,GHMC (M Corp.) (Part) WARD NO.-0024,1,536,11725,60763,31814,28949,7755,4130,3625,1212,633,579,798,406,392,42006,22897,19109,18757,8917,9840,17814,13841,3973,12674,10563,2111,316,231,85,257,168,89,331,214,117,11770,9950,1820,5140,3278,1862,179,93,86,119,74,45,544,281,263,4298,2830,1468,4388,2680,1708,166,82,84,88,51,37,326,118,208,3808,2429,1379,752,598,154,13,11,2,31,23,8,218,163,55,490,401,89,42949,17973,24976,0.7924464231814066,0.29317183154222143,0.7068281684577786,0.019946348929447195,0.013132992116913253,0.47642479798561627,0.1276270098579728,0.20858087981172754,0.08459095173049389,0.02027773394350639,0.026116458892220293,0.928672873599495
2011,25,GHMC (M Corp.) (Part) WARD NO.-0025,1,536,4405,22589,11580,11009,3031,1522,1509,64,28,36,38,22,16,15559,8453,7106,7030,3127,3903,6913,5406,1507,5254,4411,843,124,65,59,73,55,18,85,58,27,4972,4233,739,1659,995,664,181,75,106,37,29,8,48,17,31,1393,874,519,1586,950,636,181,75,106,34,26,8,42,14,28,1329,835,494,73,45,28,0,0,0,3,3,0,6,3,3,64,39,25,15676,6174,9502,0.7955312404131302,0.30603391031032806,0.693966089689672,0.002833237416441631,0.0016822347160122184,0.48736110496259244,0.13418035326929037,0.23259108415600513,0.0734428261543229,0.013894175866006851,0.016178149980966883,0.9463266082984393
2011,26,GHMC (M Corp.) (Part) WARD NO.-0026,1,536,8833,43599,22334,21265,5333,2845,2488,3041,1582,1459,2192,1134,1058,30795,16563,14232,12804,5771,7033,13286,10362,2924,10533,8672,1861,193,88,105,130,59,71,206,118,88,10004,8407,1597,2753,1690,1063,269,121,148,43,28,15,94,40,54,2347,1501,846,2542,1533,1009,267,121,146,32,18,14,86,34,52,2157,1360,797,211,157,54,2,0,2,11,10,1,8,6,2,190,141,49,30313,11972,18341,0.8047614069931532,0.3047317599027501,0.69526824009725,0.06974930617674717,0.05027638248583683,0.48774054450790155,0.12231931925044152,0.24158810981903256,0.06314365008371751,0.012342162726668566,0.019557580936105573,0.9497768916737871
2011,27,GHMC (M Corp.) (Part) WARD NO.-0027,1,536,8768,42758,22040,20718,5842,3055,2787,3903,1969,1934,1135,606,529,28236,15462,12774,14522,6578,7944,14096,10595,3501,10266,8037,2229,170,88,82,180,107,73,294,216,78,9622,7626,1996,3830,2558,1272,202,88,114,72,51,21,124,65,59,3432,2354,1078,3617,2416,1201,202,88,114,68,49,19,97,50,47,3250,2229,1021,213,142,71,0,0,0,4,2,2,27,15,12,182,125,57,28662,11445,17217,0.7648716003900747,0.329669301651153,0.670330698348847,0.09128116375882876,0.026544740165583048,0.4845409046260349,0.1366294026848777,0.24009542073997847,0.08957388091117452,0.017533606078316773,0.02863822326125073,0.9372686538086888
2011,28,GHMC (M Corp.) (Part) WARD NO.-0028,1,536,9617,46256,23838,22418,6437,3366,3071,1784,903,881,291,167,124,32346,17422,14924,13910,6416,7494,15414,11914,3500,12392,10291,2101,157,82,75,88,62,26,436,341,95,11711,9806,1905,3022,1623,1399,235,101,134,42,27,15,182,53,129,2563,1442,1121,2810,1478,1332,234,100,134,38,23,15,172,49,123,2366,1306,1060,212,145,67,1,1,0,4,4,0,10,4,6,197,136,61,30842,11924,18918,0.8123257741279288,0.3332324455205811,0.6667675544794189,0.038567969560705635,0.006291075752334833,0.48465063991698376,0.13916032514700796,0.26790038049117954,0.06533206502940159,0.0071013557133634605,0.035183989670755325,0.9450451904454487
2011,29,GHMC (M Corp.) (Part) WARD NO.-0029,1,536,10269,54010,27701,26309,7082,3691,3391,140,74,66,2,1,1,39466,20724,18742,14544,6977,7567,15197,12416,2781,11818,10211,1607,208,120,88,206,147,59,222,172,50,11182,9772,1410,3379,2205,1174,308,139,169,65,45,20,67,30,37,2939,1991,948,3119,2004,1115,305,137,168,56,38,18,50,21,29,2708,1808,900,260,201,59,3,2,1,9,7,2,17,9,8,231,183,48,38813,15285,23528,0.8409904534606205,0.2813738196630254,0.7186261803369747,0.0025921125717459728,3.703017959637104e-05,0.4871134975004629,0.13112386595074987,0.2188113312349565,0.06256248842806887,0.017431037400575392,0.018784904383144355,0.9461837874428838
2011,30,GHMC (M Corp.) (Part) WARD NO.-0030,1,536,4733,22888,11663,11225,2702,1400,1302,1896,941,955,471,227,244,16993,9121,7872,5895,2542,3353,7393,5550,1843,5354,4303,1051,75,38,37,39,28,11,112,88,24,5128,4149,979,2039,1247,792,94,33,61,14,10,4,63,43,20,1868,1161,707,1972,1204,768,94,33,61,14,10,4,58,42,16,1806,1119,687,67,43,24,0,0,0,0,0,0,5,1,4,62,42,20,15495,6113,9382,0.8418210641038344,0.3230076896190143,0.6769923103809856,0.08283816847256203,0.020578469066759874,0.49043166724921355,0.11805312827682629,0.23392170569730864,0.08908598392170569,0.007284273440418379,0.020918939110945087,0.9577885692939858
2011,31,GHMC (M Corp.) (Part) WARD NO.-0031,1,536,5214,25280,13145,12135,3127,1662,1465,87,45,42,103,54,49,18926,10036,8890,6354,3109,3245,7634,5924,1710,4874,3934,940,79,43,36,195,147,48,140,49,91,4460,3695,765,2760,1990,770,87,55,32,56,40,16,68,28,40,2549,1867,682,2484,1766,718,87,55,32,48,32,16,58,21,37,2291,1658,633,276,224,52,0,0,0,8,8,0,10,7,3,258,209,49,17646,7221,10425,0.8543312418182639,0.3019778481012658,0.6980221518987342,0.0034414556962025318,0.004074367088607595,0.48002373417721517,0.12369462025316456,0.1928006329113924,0.10917721518987342,0.04000820681165367,0.028723840787853918,0.9150594993844892
2011,32,GHMC (M Corp.) (Part) WARD NO.-0032,1,536,8824,39521,20172,19349,4326,2249,2077,2048,1045,1003,282,150,132,31044,16337,14707,8477,3835,4642,13275,9741,3534,10875,8415,2460,248,192,56,153,107,46,106,59,47,10368,8057,2311,2400,1326,1074,165,76,89,45,26,19,37,16,21,2153,1208,945,2312,1280,1032,165,76,89,44,25,19,34,15,19,2069,1164,905,88,46,42,0,0,0,1,1,0,3,1,2,84,44,40,26246,10431,15815,0.8820571103849979,0.3358973710179398,0.6641026289820602,0.0518205510994155,0.007135446977556236,0.4895878140735305,0.10946079299612864,0.2751701626983123,0.06072720831962754,0.01406896551724138,0.00974712643678161,0.9533793103448276
2011,33,GHMC (M Corp.) (Part) WARD NO.-0033,1,536,5060,23269,12161,11108,2596,1418,1178,971,504,467,765,424,341,18433,9888,8545,4836,2273,2563,8934,6419,2515,6897,5269,1628,114,59,55,69,44,25,128,97,31,6586,5069,1517,2037,1150,887,151,65,86,15,8,7,49,26,23,1822,1051,771,1939,1105,834,151,65,86,14,7,7,45,24,21,1729,1009,720,98,45,53,0,0,0,1,1,0,4,2,2,93,42,51,14335,5742,8593,0.8916461084506361,0.3839443035798702,0.6160556964201298,0.04172933946452362,0.03287635910438781,0.4773733293222743,0.1115647427908376,0.2964029395332846,0.08754136404658558,0.010004349717268378,0.018558793678410904,0.954907930984486
2011,34,GHMC (M Corp.) (Part) WARD NO.-0034,1,536,9875,47127,24304,22823,5133,2735,2398,1572,805,767,290,159,131,34942,18804,16138,12185,5500,6685,15932,11818,4114,11987,9562,2425,323,195,128,453,341,112,242,141,101,10969,8885,2084,3945,2256,1689,411,183,228,115,74,41,142,57,85,3277,1942,1335,3791,2145,1646,408,183,225,113,72,41,134,57,77,3136,1833,1303,154,111,43,3,0,3,2,2,0,8,0,8,141,109,32,31195,12486,18709,0.8320712482735629,0.33806522800093364,0.6619347719990664,0.03335667451779235,0.0061535849937403185,0.4842871390073631,0.10891845438920364,0.2543552528274662,0.08370997517346744,0.037790940185200635,0.020188537582380914,0.9150746642195712
