ward_id,ward_name_readme,udise2021_22_school_count,udise2021_22_student_count,udise2021_22_teacher_count,udise2021_22_classroom_count,udise2021_22_electricity_share,udise2021_22_library_share,udise2021_22_playground_share,udise2021_22_medical_checkup_share,udise2021_22_ramp_share,udise2021_22_internet_share,udise2021_22_computer_desktop_share,udise2021_22_boundary_wall_share,udise2021_22_government_school_share,udise2021_22_student_teacher_ratio,udise2021_22_data_available,udise2023_24_school_count,udise2023_24_student_count,udise2023_24_teacher_count,udise2023_24_classroom_count,udise2023_24_electricity_share,udise2023_24_drinking_water_share,udise2023_24_library_share,udise2023_24_playground_share,udise2023_24_medical_checkup_share,udise2023_24_ramp_share,udise2023_24_internet_share,udise2023_24_computer_desktop_share,udise2023_24_ict_lab_share,udise2023_24_boundary_wall_share,udise2023_24_government_school_share,udise2023_24_student_teacher_ratio,udise2023_24_data_available,udise2021_22_school_count_missing,udise2021_22_student_count_missing,udise2021_22_teacher_count_missing,udise2021_22_classroom_count_missing,udise2021_22_electricity_share_missing,udise2021_22_library_share_missing,udise2021_22_playground_share_missing,udise2021_22_medical_checkup_share_missing,udise2021_22_ramp_share_missing,udise2021_22_internet_share_missing,udise2021_22_computer_desktop_share_missing,udise2021_22_boundary_wall_share_missing,udise2021_22_government_school_share_missing,udise2021_22_student_teacher_ratio_missing,udise2023_24_school_count_missing,udise2023_24_student_count_missing,udise2023_24_teacher_count_missing,udise2023_24_classroom_count_missing,udise2023_24_electricity_share_missing,udise2023_24_drinking_water_share_missing,udise2023_24_library_share_missing,udise2023_24_playground_share_missing,udise2023_24_medical_checkup_share_missing,udise2023_24_ramp_share_missing,udise2023_24_internet_share_missing,udise2023_24_computer_desktop_share_missing,udise2023_24_ict_lab_share_missing,udise2023_24_boundary_wall_share_missing,udise2023_24_government_school_share_missing,udise2023_24_student_teacher_ratio_missing,udise_2021_2023_school_count_change,udise_2021_2023_school_count_pct_change,udise_2021_2023_student_count_change,udise_2021_2023_student_count_pct_change,udise_2021_2023_teacher_count_change,udise_2021_2023_teacher_count_pct_change,udise_2021_2023_classroom_count_change,udise_2021_2023_classroom_count_pct_change,udise_2021_2023_student_teacher_ratio_change,udise_2021_2023_student_teacher_ratio_pct_change,udise_2021_2023_internet_share_change,udise_2021_2023_internet_share_pct_change,udise_2021_2023_library_share_change,udise_2021_2023_library_share_pct_change,udise_2021_2023_playground_share_change,udise_2021_2023_playground_share_pct_change,udise_2021_2023_government_school_share_change,udise_2021_2023_government_school_share_pct_change,data_coverage_score,worldpop_status,geometry_status,worldpop_population_2015,worldpop_population_2018,worldpop_abs_growth_2015_2018,worldpop_pct_growth_2015_2018,worldpop_annualized_growth_2015_2018_pct,worldpop_data_status,worldpop_geometry_coverage_n,worldpop_geometry_coverage_total,census2011_population_verified,census2011_TOT_M,census2011_TOT_F,census2011_No_HH,census2011_P_06,census2011_P_SC,census2011_P_ST,census2011_P_LIT,census2011_P_ILL,census2011_TOT_WORK_P,census2011_MAINWORK_P,census2011_MARGWORK_P,census2011_NON_WORK_P,census2011_literacy_rate,census2011_work_participation_rate,census2011_non_worker_rate,census2011_sc_share,census2011_st_share,census2011_female_share,census2011_child_share,census2011_main_worker_share,census2011_marginal_worker_share,census2011_source_district,census2011_source_rows,census2011_sc_st_share,census2011_literacy_risk
11,Nagole,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.25,observed_raster_aggregation,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_150_FEATURES_VERIFIED,8861.320796996355,9069.302236437798,207.9814394414425,2.347070422187403,0.776314569058334,missing_geometry,0,145,50462,25680,24782,12332,4775,2385,578,41928,8534,17879,16122,1757,32583,0.9177227657758223,0.3543062106139273,0.6456937893860727,0.0472632872260314,0.0114541635289921,0.4911022155285165,0.0946256589116563,0.3194879315128215,0.0348182791011057,537,1,0.058717450755023506,0.08227723422417765
12,Mansoorabad,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,90329.39,92545.13,2215.740000000005,2.4529557877009966,0.8110560263781652,observed_raster_aggregation,1,145,81484,41850,39634,19401,9741,6599,4094,58101,23383,28652,24472,4180,52832,0.8098490445060842,0.3516273133375877,0.6483726866624122,0.0809852240930734,0.050242992489323,0.4864022384762653,0.1195449413381768,0.3003288989249423,0.0512984144126454,537,1,0.13122821658239642,0.1901509554939158
13,Hayath Nagar,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.25,observed_raster_aggregation,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_150_FEATURES_VERIFIED,56450.615976676345,57764.90086853504,1314.284891858697,2.328202924130569,0.7701215444701148,missing_geometry,0,145,57789,29739,28050,13591,6772,6319,1757,42166,15623,20641,17894,2747,37148,0.8265088107885606,0.3571787018290678,0.6428212981709321,0.109346069321151,0.0304037100486251,0.4853864922390074,0.1171849313883265,0.3096437038190659,0.0475349980100019,537,1,0.1397497793697761,0.17349118921143936
14,BN Reddy Nagar,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,76335.36,78162.4,1827.0399999999936,2.393438637087706,0.7915311333026809,observed_raster_aggregation,1,145,51227,26325,24902,12394,5589,2902,548,39108,12119,18722,16056,2666,32505,0.8569174810464963,0.365471333476487,0.634528666523513,0.0566498135748726,0.0106974837488043,0.4861108399867258,0.1091026216643566,0.3134284654576688,0.0520428680188182,537,1,0.0673472973236769,0.14308251895350366
15,Vanasthalipuram,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,51333.14,52594.56,1261.4199999999985,2.4573209431567955,0.8124877393637098,observed_raster_aggregation,1,145,55245,27792,27453,13608,5536,2770,817,43136,12109,21453,18665,2788,33792,0.8677704238669054,0.3883247352701602,0.6116752647298398,0.0501402841886143,0.014788668657797,0.4969318490361119,0.100208163634718,0.337858629740248,0.0504661055299122,537,1,0.0649289528464113,0.1322295761330946
16,Hasthinapuram,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,58322.62,59736.74,1414.1199999999951,2.424651018764238,0.8017714513617769,observed_raster_aggregation,1,145,37079,18845,18234,8915,3592,1217,380,30403,6676,13449,11871,1578,23630,0.9079045599784992,0.3627120472504652,0.6372879527495348,0.0328218128860001,0.0102483885757436,0.4917608349739745,0.0968742414843981,0.3201542652175085,0.0425577820329566,537,1,0.0430702014617437,0.09209544002150083
17,Champapet,,,,,,,,,,,,,,,0,3.0,1384.0,18.0,11.0,1.3333333333333333,3.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,9.0,3.6666666666666665,0.6666666666666666,76.88888888888889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.75,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,42803.33,43863.09,1059.7599999999948,2.47588213346951,0.8185751091072779,observed_raster_aggregation,1,145,33864,17338,16526,8390,2898,1087,212,28007,5857,12585,10575,2010,21279,0.9044435832848932,0.3716335931963146,0.6283664068036854,0.032098984171982,0.0062603354594849,0.4880108669974013,0.0855776045357902,0.3122785258681786,0.059355067328136,537,2,0.0383593196314669,0.09555641671510684
18,Lingojiguda,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,44650.93,45741.98,1091.050000000003,2.443510135175243,0.8079578386500863,observed_raster_aggregation,1,145,25242,13010,12232,5758,2517,2580,181,20150,5092,9825,7052,2773,15417,0.8866886688668867,0.3892322319942952,0.6107677680057048,0.1022106013786546,0.0071705887013707,0.4845891767688772,0.0997147611124316,0.2793756437683226,0.1098565882259725,536,1,0.10938119008002531,0.11331133113311331
19,Saroornagar,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,36690.44,37565.38,874.939999999995,2.384653877140735,0.7886486089917266,observed_raster_aggregation,1,145,45226,22908,22318,10382,4803,3878,831,35572,9654,15602,12710,2892,29624,0.8799940627860376,0.3449785521602618,0.6550214478397383,0.085747136602839,0.018374386414894,0.4934772033785875,0.10619997346659,0.2810330340954318,0.0639455180648299,536,1,0.104121523017733,0.12000593721396235
20,RK Puram,,,,,,,,,,,,,,,0,1.0,654.0,11.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,59.45454545454545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.75,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,31066.82,31861.22,794.4000000000015,2.557068924337932,0.8451926760512762,observed_raster_aggregation,1,145,45484,23220,22264,10789,5277,4334,2339,31586,13898,18315,16347,1968,27169,0.7855845996965702,0.4026690704423533,0.5973309295576467,0.0952862545070794,0.0514246768094274,0.489490809955149,0.1160188198047665,0.3594011080819629,0.0432679623603904,536,1,0.1467109313165068,0.21441540030342976
21,Kothapet,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,35289.22,36170.04,880.8199999999997,2.4960030286869466,0.8251731729324918,observed_raster_aggregation,1,145,56751,29434,27317,11159,7475,1843,608,41770,14981,18543,14059,4484,38208,0.8476743242146279,0.3267431410900248,0.6732568589099751,0.0324751986749132,0.010713467604095,0.4813483462846469,0.1317157406917939,0.2477313175098236,0.0790118235802012,536,1,0.0431886662790082,0.15232567578537215
22,Chaitanyapuri,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,27130.4,27817.14,686.739999999998,2.5312564503287747,0.8367314282141436,observed_raster_aggregation,1,145,47220,24351,22869,9160,6771,532,122,33218,14002,14106,10595,3511,33114,0.821231674454251,0.2987293519695044,0.7012706480304955,0.0112664125370605,0.0025836509953409,0.4843074968233799,0.1433926302414231,0.2243752647183396,0.0743540872511647,536,1,0.0138500635324014,0.17876832554574895
23,Gaddiannaram,1.0,378.0,12.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,31.5,1,1.0,421.0,6.0,11.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,0.0,70.16666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,43.0,11.375661375661377,-6.0,-50.0,5.0,83.33333333333334,38.66666666666667,122.75132275132276,-1.0,-50.0,0.0,0.0,0.0,0.0,0.0,,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,25697.14,26338.29,641.1500000000015,2.4950247381615287,0.824852390909947,observed_raster_aggregation,1,145,35196,17903,17293,6962,4909,452,665,23501,11695,11234,8870,2364,23962,0.7759434740977977,0.3191839981816115,0.6808160018183884,0.0128423684509603,0.0188941925218774,0.49133424252756,0.1394760768269121,0.2520172746903057,0.0671667234913058,536,1,0.031736560972837696,0.22405652590220226
24,Saidabad,48.0,11458.0,621.0,571.0,1.0,1.0833333333333333,1.2916666666666667,1.0833333333333333,1.5416666666666667,1.5,5.458333333333333,1.375,0.25,18.45088566827697,1,47.0,21110.0,659.0,604.0,1.0,1.5319148936170213,1.0425531914893618,1.4042553191489362,1.1063829787234043,1.4893617021276595,1.148936170212766,7.1063829787234045,8.063829787234043,1.5106382978723405,0.2553191489361702,32.03338391502276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-2.083333333333333,9652.0,84.23808692616512,38.0,6.119162640901772,33.0,5.779334500875657,13.58249824674579,73.61434291524817,-0.3510638297872339,-23.404255319148927,-0.0407801418439714,-3.764320785597369,0.1125886524822694,8.716540837336991,0.0053191489361701,2.127659574468077,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,29491.1,30226.68,735.5800000000017,2.494244026163832,0.8245963935351597,observed_raster_aggregation,1,145,60763,31814,28949,11725,7755,1212,798,42006,18757,17814,12674,5140,42949,0.7924464231814066,0.2931718315422214,0.7068281684577786,0.0199463489294471,0.0131329921169132,0.4764247979856162,0.1276270098579728,0.2085808798117275,0.0845909517304938,536,1,0.033079341046360296,0.20755357681859343
