ward_id,period,worldpop_population_2015,worldpop_population_2018,worldpop_abs_growth_2015_2018,worldpop_pct_growth_2015_2018,worldpop_annualized_growth_2015_2018_pct,worldpop_data_status,source,geometry_source
40,worldpop,15715.56,16126.7,411.14000000000124,2.6161333099170583,0.8645484562540773,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
41,worldpop,39594.89,40501.66,906.7700000000041,2.2901187501720655,0.7576185624502685,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
42,worldpop,18962.2,19395.98,433.77999999999884,2.2876037590574874,0.7567927850915757,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
43,worldpop,26990.07,27656.18,666.1100000000006,2.4679817429150814,0.8159841691003589,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
44,worldpop,19823.85,20338.38,514.5300000000025,2.5955099539191555,0.8577908935683443,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
45,worldpop,22766.46,23326.72,560.260000000002,2.4609008163763804,0.8136618598611145,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
46,worldpop,21625.61,22159.5,533.8899999999994,2.4687858515898484,0.8162478833324993,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
47,worldpop,14369.72,14741.24,371.52000000000044,2.585436598625446,0.8544898731651873,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
48,worldpop,22862.48,23454.18,591.7000000000007,2.5880831825768715,0.8553571748921129,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
49,worldpop,28128.29,28807.79,679.5,2.415717414745084,0.7988406813291604,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
50,worldpop,25927.63,26555.67,628.0399999999972,2.4222807869442646,0.8009938865638278,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
51,worldpop,19112.53,19568.89,456.3600000000006,2.3877529557834603,0.7896655217972892,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
52,worldpop,13012.33,13346.91,334.5799999999999,2.57125357257309,0.8498417547083248,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
53,worldpop,17995.18,18458.49,463.3100000000013,2.5746338741818713,0.8509495996636973,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
54,worldpop,21661.09,22220.47,559.380000000001,2.582418520951628,0.8535008124714416,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
55,worldpop,23984.39,24553.3,568.9099999999999,2.372001122396692,0.7844965981210761,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
56,worldpop,21380.78,21918.73,537.9500000000007,2.516044784147261,0.8317444268075125,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
57,worldpop,35427.01,36271.88,844.8699999999953,2.384818814796945,0.7887027311474615,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
58,worldpop,57932.8,59334.8,1402.0,2.420045293857711,0.8002605123973217,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
59,worldpop,94893.13,97189.62,2296.4899999999907,2.420080357766669,0.8002720155190879,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
60,worldpop,102818.17,105213.12,2394.949999999997,2.3293061916974374,0.7704836994579578,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
61,worldpop,63470.76,64986.56,1515.7999999999956,2.388186308151967,0.7898077177709073,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
62,worldpop,21980.64,22526.85,546.2099999999991,2.4849594916253537,0.8215518722745729,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
63,worldpop,14995.92,15370.87,374.9500000000007,2.5003467609856598,0.826597460584777,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
64,worldpop,12561.47,12890.11,328.64000000000124,2.6162543078158946,0.8645881004218925,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
65,worldpop,28850.62,29560.52,709.9000000000015,2.46060569928827,0.8135650689140128,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
66,worldpop,49789.18,50928.55,1139.3700000000026,2.2883887623776946,0.7570505361504498,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
67,worldpop,30282.5,30994.13,711.630000000001,2.349971105423928,0.7772666152137564,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
68,worldpop,21126.55,21623.21,496.65999999999985,2.3508807637782785,0.7775651745259182,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
69,worldpop,27292.69,27917.68,624.9900000000016,2.2899538301281464,0.7575644126783132,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
70,worldpop,18047.88,18508.8,460.91999999999825,2.5538733635196946,0.8441452582674813,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
71,worldpop,23147.19,23727.83,580.640000000003,2.508468630533568,0.8292604722042851,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
72,worldpop,17918.65,18387.42,468.7699999999968,2.6161011013664353,0.8645379033284772,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
73,worldpop,28014.53,28707.22,692.6900000000023,2.472609749297962,0.817501944006227,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
74,worldpop,20308.04,20783.39,475.34999999999854,2.3406985607670583,0.7742231689022105,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
75,worldpop,29986.47,30704.05,717.5799999999981,2.3930125820078123,0.791391336573577,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
76,worldpop,13987.8,14348.77,360.97000000000116,2.580605956619348,0.8529068038109822,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
77,worldpop,33228.53,34049.58,821.0500000000029,2.4709188158489193,0.8169474002948096,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
78,worldpop,52749.52,53988.62,1239.1000000000058,2.3490261143608624,0.7769564574664933,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
79,worldpop,35836.87,36721.82,884.9499999999971,2.4693841845004796,0.8164441107693765,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
80,worldpop,28327.2,29032.04,704.8400000000001,2.4882092123471438,0.8226175194515406,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
81,worldpop,22493.83,23055.87,562.0399999999972,2.4986407383713543,0.826038069274837,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
82,worldpop,26290.43,26918.74,628.3100000000013,2.3898810327560307,0.7903638041409033,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
83,worldpop,23086.83,23647.03,560.1999999999971,2.4264916404720656,0.8023752669975792,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
84,worldpop,22150.34,22716.47,566.130000000001,2.5558524158094236,0.8447939402602245,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
85,worldpop,17390.57,17831.66,441.09000000000015,2.536374598417419,0.838409253932304,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
86,worldpop,13316.49,13660.61,344.1200000000008,2.584164445736082,0.854072975584308,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
87,worldpop,26564.02,27240.18,676.1599999999999,2.5453978727617272,0.8413671178955751,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
88,worldpop,16308.89,16725.58,416.6900000000023,2.554986881388018,0.8445102415605366,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
89,worldpop,24762.28,25379.16,616.880000000001,2.49120840245729,0.8236009927377719,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
