State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,source_file,source_district
28,536,4503,802918,80,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0080,Urban,8921,40354,20406,19948,3703,1985,1718,2268,1163,1105,336,161,175,33136,17170,15966,7218,3236,3982,16205,11285,4920,11694,8946,2748,96,64,32,138,91,47,333,185,148,11127,8606,2521,4511,2339,2172,162,76,86,75,44,31,126,42,84,4148,2177,1971,4388,2261,2127,162,76,86,72,42,30,106,34,72,4048,2109,1939,123,78,45,0,0,0,3,2,1,20,8,12,100,68,32,24149,9121,15028,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4503,802918,81,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0081,Urban,6911,30388,15225,15163,2692,1343,1349,2206,1107,1099,157,81,76,25098,12953,12145,5290,2272,3018,12985,8923,4062,10242,7597,2645,101,49,52,117,72,45,346,220,126,9678,7256,2422,2743,1326,1417,61,25,36,50,28,22,117,16,101,2515,1257,1258,2599,1218,1381,61,25,36,47,25,22,112,15,97,2379,1153,1226,144,108,36,0,0,0,3,3,0,5,1,4,136,104,32,17403,6302,11101,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4503,802918,82,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0082,Urban,8213,37320,19029,18291,3896,2078,1818,2618,1310,1308,133,65,68,28434,15038,13396,8886,3991,4895,13203,9985,3218,10499,8289,2210,102,66,36,152,92,60,440,344,96,9805,7787,2018,2704,1696,1008,85,43,42,46,29,17,78,39,39,2495,1585,910,2597,1640,957,84,42,42,44,27,17,65,34,31,2404,1537,867,107,56,51,1,1,0,2,2,0,13,5,8,91,48,43,24117,9044,15073,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,50,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0050,Urban,5841,30615,15687,14928,3470,1798,1672,2034,988,1046,130,67,63,23416,12612,10804,7199,3075,4124,10396,8543,1853,8639,7504,1135,56,37,19,63,50,13,335,240,95,8185,7177,1008,1757,1039,718,133,57,76,35,14,21,257,110,147,1332,858,474,1563,877,686,133,57,76,30,9,21,208,72,136,1192,739,453,194,162,32,0,0,0,5,5,0,49,38,11,140,119,21,20219,7144,13075,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,51,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0051,Urban,6722,35729,18674,17055,4093,2232,1861,678,335,343,40,19,21,27327,14910,12417,8402,3764,4638,14082,9707,4375,9955,7406,2549,110,69,41,184,90,94,551,465,86,9110,6782,2328,4127,2301,1826,105,55,50,28,10,18,94,22,72,3900,2214,1686,4054,2271,1783,105,55,50,28,10,18,88,19,69,3833,2187,1646,73,30,43,0,0,0,0,0,0,6,3,3,67,27,40,21647,8967,12680,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,52,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0052,Urban,5735,28660,14772,13888,3191,1665,1526,2748,1404,1344,125,67,58,20367,11237,9130,8293,3535,4758,10328,7911,2417,7586,6003,1583,102,58,44,94,53,41,149,95,54,7241,5797,1444,2742,1908,834,46,17,29,15,10,5,30,13,17,2651,1868,783,2393,1628,765,46,17,29,14,10,4,20,7,13,2313,1594,719,349,280,69,0,0,0,1,0,1,10,6,4,338,274,64,18332,6861,11471,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,77,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0077,Urban,8247,40798,20788,20010,4922,2542,2380,3055,1491,1564,196,94,102,28625,15110,13515,12173,5678,6495,15783,11380,4403,11745,9380,2365,93,63,30,106,68,38,605,396,209,10941,8853,2088,4038,2000,2038,89,39,50,29,15,14,124,52,72,3796,1894,1902,3872,1892,1980,87,38,49,26,13,13,106,40,66,3653,1801,1852,166,108,58,2,1,1,3,2,1,18,12,6,143,93,50,25015,9408,15607,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,78,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0078,Urban,4949,22309,11134,11175,1926,1017,909,2848,1356,1492,99,50,49,17914,9185,8729,4395,1949,2446,8397,6261,2136,7472,5858,1614,29,21,8,36,26,10,183,128,55,7224,5683,1541,925,403,522,29,11,18,13,2,11,152,11,141,731,379,352,870,387,483,29,11,18,11,2,9,148,11,137,682,363,319,55,16,39,0,0,0,2,0,2,4,0,4,49,16,33,13912,4873,9039,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4504,802918,79,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0079,Urban,6830,31267,15861,15406,2940,1531,1409,903,418,485,84,40,44,25753,13462,12291,5514,2399,3115,10725,8368,2357,9436,7624,1812,84,67,17,59,27,32,312,238,74,8981,7292,1689,1289,744,545,27,14,13,54,11,43,44,19,25,1164,700,464,1231,712,519,27,14,13,54,11,43,34,12,22,1116,675,441,58,32,26,0,0,0,0,0,0,10,7,3,48,25,23,20542,7493,13049,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4505,802918,96,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0096,Urban,6237,28768,14846,13922,3523,1820,1703,1711,860,851,349,181,168,20371,11085,9286,8397,3761,4636,11292,8291,3001,8288,6567,1721,40,28,12,185,142,43,424,226,198,7639,6171,1468,3004,1724,1280,56,25,31,46,22,24,146,59,87,2756,1618,1138,2899,1667,1232,55,25,30,43,19,24,133,52,81,2668,1571,1097,105,57,48,1,0,1,3,3,0,13,7,6,88,47,41,17476,6555,10921,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
